AAL	Ashendon and Aynho Line	0.00 - 18.29	Ashendon Junction	Now NAJ3
SSL	South Dock Low Level Line	nan	nan	Now SSY
SSL	Seven Sisters Loop	0.00 - 0.13	Seven Sisters Junction	nan
SSM	Stanton and Shipley Branch and Extension (Mapperley Branch)	127.19 - 129.53	St Pancras	nan
SSN	Sharpness Dock North Branch	4.24 - 5.01 + docks	Berkeley Road Junction via North Dock Junction (reverse)	nan
SSO	Sutton Oak Junction to St Helens Junction (Passenger Lines)	0.00 - 0.36	Sutton Oak Junction	See also SHS2
SSP	Soho South to Perry Barr South Junction Branch	0.00 - 2.75	Perry Barr South Junction	nan
SSR	St Enoch and Shields Road Line	0.00 - 1.31	St Enoch	Part remiled to form part HST
SSS	Sharpness Dock South Branch	3.43 - 4.17	Berkeley Road Junction	nan
SSV	Shenfield and Southend Victoria Line	20.22 - 41.42	Liverpool Street	nan
SSW	Stratford Western Junction to Stratford Southern Junction Line	3.52 - 4.01	Liverpool Street	nan
SSY	South Dock Low Level Line	0.00 - 0.25 + docks	Branch Junction	Formerly SSL
SSZ	South Dock High Level Line	0.00 - 0.09 + docks	Branch Junction	Formerly SSH
STA	Staines Branch	13.28 - 19.39	Paddington	13.28 - 13.39 formerly UXB
STB	St Botolphs Branch	53.14 - 53.76	Liverpool Street	St Botolphs now Colchester Town
STC	Stairfoot and Cudworth Line	172.27 - 174.77	St Pancras	nan
STD	Stratford Branch	0.00 - 18.12	Honeybourne Junction	nan
STE	Stoneycombe Branch	0.00 - 0.25	Stoneycombe Junction	Formerly STY
STF	Norton On Tees South Junction to Ferryhill South Junction Branch	0.00 - 10.72	Norton On Tees South Junction	nan
STF	Hull Stoneferry Goods Branch	3.24 - 3.71	Hull Paragon	nan
STG	Stoke Goods Lines (Crewe Sorting Sidings South to Crewe South)	7.70 - 8.67	Kidsgrove Junction	To 8.32??
STH	Stanmore to Harrow and Wealdstone Line	0.00 - 2.11	Harrow and Wealdstone	nan
STI	Swannington Incline	113.03 - 114.21	St Pancras	nan
STJ	Whitehouse West Junction to Whitehouse East Junction Line	14.77 - 15.23	Southport	South of Preston
STK	Stank Branch	0.00 - 1.74	Salthouse Junction	nan
STL	Sighthill East Junction to Sighthill Freight Terminal	102.66 - 103.12	Carlisle via Whifflet	= SIG? Now part ZZA9??
STM	Stratford Temple Mills Yard	4.55 - 5.75	Liverpool Street via Stratford	nan
STN	Stranraer Town Branch	53.05 - 53.40	Castle Douglas No 2 Signal Box	nan
STO	Stoke Branch	126.21 - 130.25	Paddington via Didcot and Charlbury	nan
STR	Stroud Branch	nan	nan	Now STW
STR	Stranraer Line	see separate portions	nan	nan
STR1	Ayr to Girvan	40.49 - 61.60	Bridge Street Station via Dalry	nan
STR2	Girvan to Challoch	0.00 - 30.67	Girvan Junction	nan
STR3	Challoch to Stranraer Harbour Junction	46.54 - 53.05	Castle Douglas No 2 Signal Box	nan
STR4	Stranraer Harbour Junction to Stranraer	53.05 - 54.19	Castle Douglas No 2 Signal Box	nan
STS	Seaford Branch	51.11 - 58.77	London Bridge via Redhill	nan
STT	Silvertown Tramway	6.36 - 8.00	Liverpool Street via Stratford, Silvertown (reverse)	nan
STW	Stroud Branch	104.11 - 105.34	Derby	Formerly STR
STY	Stoneycombe Branch	nan	nan	Now STE
STY	Styal Line (Wilmslow Junction to Slade Lane Junction)	0.00 - 9.44	Wilmslow Junction	nan
STZ	Stover Canal	0.00 - 1.70	Jetty Marsh	Canal only, no track
SUB	Edinburgh Suburban Line	see separate portions	nan	nan
SUB1	Portobello Road Junction to Lothian Lines Junction	3.30 - 4.00	Edinburgh Waverley	nan
SUB2	Haymarket Central Junction to Lothian Lines Junction	0.11 - 6.69	Haymarket Central Junction	nan
SUC	Salt Union Company's Siding	0.00 - 0.18	Junction 0.25 down Winsford Junction to Over & Wharton Branch	nan
SUD	Sudbury Branch	46.53 - 58.34	Liverpool Street via Marks Tey Junction (reverse)	nan
SUN	Sunniside Branch (Low Taw)	nan	nan	Duplicates TOL
SUN1	Sunniside Branch (Crook)	?? - ??	nan	nan
SUN2	Sunniside Wagonway	?? - ??	nan	nan
SUT	Sutton Harbour Branch	see separate portions	nan	nan
SUT1	Laira Junction to Speedway Junction (new route avoiding HST depot)	244.02 - 244.45	Paddington via Box	nan
SUT2	Mount Gould Junction to Sutton Harbour	244.41 - 245.62	Paddington via Box	nan
SUX	Stafford to Uttoxeter Line	0.00 - 12.57	Bromshall Junction	nan
SVB	Severn Valley Branch	132.15 - 171.59	Paddington via Didcot and Charlbury	Includes SOS
SVE	Strathaven Branch	0.00 - 11.06	Strathaven Junction	nan
SVL	Swansea Vale Line	0.00 - 18.23	Swansea St Thomas Station	nan
SVN	Strathavon Branch	0.00 - 1.26	Strathavon Branch Junction	nan
SVS	Severnside Branch	11.64 - 12.66	Bristol Temple Meads via Pilning	nan
SWA	Swansea High Street Branch	214.65 - 216.08	Paddington via Stroud	nan
SWB	South Wales and Bristol Direct Line	83.09 - 112.69	Paddington	nan
SWC	Swalwell Colliery Branch	0.00 - 0.44	Derwenthaugh Junction	nan
SWD	Seaton to Wansford Branch	31.63 - 43.37	Rugby	nan
SWE	Staines to Windsor and Eton Riverside Branch	19.06 - 25.52	Waterloo via Twickenham	nan
SWG	Shawsrigg Branch	0.00 - 0.40	Shawsrigg Branch Junction	Between Dalserf and Stonehouse, Caledonian Railway route
SWH	Swanwick Branch	0.00 - 0.76	Swanwick Branch Junction	nan
SWI	Wimberry Branch	nan	nan	Now WIY
SWI	Swinehill Branch	0.00 - 0.72	Dalserf Junction	Serves Swinehill Collieries, between Dalserf and Stonehouse, Caledonian Railway route
SWJ	South Wales Mineral Junction Branch	0.00 - 5.55	Tonygroes North Junction	Formerly SMJ
SWK	Shardlow Works Branch	0.00 - ??	Meadowhall	At Meadowhall (Sheffield). Records include bridge at 0.04
SWL	Swansea Loop/Landore Western Loop	0.00 - 0.53	Swansea Loop West Junction	nan
SWM	South Wales Main Line	see separate portions	nan	nan
SWM1	Swindon to Gloucester Yard Junction	77.35 - 113.03	Paddington via Stroud	nan
SWM2	Gloucester Yard Junction to Johnston	113.03 - 285.26	Paddington via Stroud	nan
SWN	Swansea Line	0.00 - 12.35	Pontarddulais Junction	nan
SWO	Halesworth to Southwold Line	0.00 - 8.63	Halesworth	nan
SWP	Shirebrook Junction to Warsop Junction Curve	0.00 - 0.45	Warsop Junction	nan
SWR	Cardiff East Branch	0.00 - 0.66	East Branch Junction	Formerly CEZ
SWS	Shildon Works	0.00 - 0.49	Shildon Station	Formerly went to 1.19
SWT	Swansea East Junction Line	48.07 - 48.43	Taff Vale Extension Junction	Formerly SEJ
SWW	Swinton West Curve	0.00 - 0.39	Mexborough Junction	nan
SWX	Staines West Link Line	19.52 - 19.69	Waterloo via Twickenham	nan
SWY	Stert and Westbury Line	81.01 - 95.36	Paddington via Newbury	nan
SYB	Saxby to Bourne Line	0.00 - 13.07	Bourne Line Junction, Saxby	nan
SYC	Shrewsbury and Crewe Line	0.00 - 32.29	Crewe South Junction	nan
SYD	Stoneywood Branch	3.07 - 4.09	Denny Branch (North) Junction	nan
SYE	Sunnyside Loop (Sunnyside Junction to Whifflet South Junction)	8.43 - 9.63	High Street	nan
SYI	Stanley Incline Branch	?? - ??	junction with CNT?	nan
SYS	(Saxby) Bourne to Sutton Bridge Line	18.21 - 42.63	Bourne Line Junction, Saxby	nan
SZS	Willesden South West Sidings	6.23 - 6.50	Clapham Junction	nan
TAD	Trecwn Branch	0.00 - 2.40	Trecwn Junction	nan
TAH	Tottenham and Hampstead Line	see separate portions	nan	nan
TAH1	Junction Road Junction to South Tottenham	2.42 - 5.73	St Pancras via Kentish Town	nan
TAH2	South Tottenham to Woodgrange Park Junction	5.73 - 11.79	St Pancras via Kentish Town	nan
TAH3	Woodgrange Park Junction to Barking Station Junction	11.79 - 13.42	St Pancras via Kentish Town	nan
TAH4	Barking Station Junction Barking bay platform	13.12 - 13.62	St Pancras via Kentish Town	nan
TAI	Taibach Loop	1.13 - 1.37	Copper Works Junction	nan
TAL	Talywain Branch	9.46 - 13.12	George Street Junction	nan
TAN	Tannochside Branch	0.00 - 1.40	Tannochside Junction	nan
TAT	Tattenham Corner Branch	15.23 - 23.37	Charing Cross	nan
TAW	unknown	see separate portions	nan	nan
TAW1	unknown	0.04 - 3.21	unknown	Not in GEOGIS but present in a structure maintenance system
TAW2	unknown	97.62 - 98.38	unknown	Not in GEOGIS but present in a structure maintenance system
TAZ	Talywain Old Siding	13.15 - 13.33	George Street Junction via Golynos Junction (reverse)	Formerly part of CFZ
TBB	Tillynaught to Banff Branch	58.34 - 64.35	Aberdeen	nan
TBC	Thornley Colliery Branch	1.42 - ??	Thornley Junction	off TOY
TBD	Taff Bargoed Branch	13.36 - 22.77	Taff Vale Extension Junction	nan
TBG	Three Bridges Junction to Groombridge Junction Line	29.28 - 46.22	London Bridge via Redhill	nan
TBH	Three Bridges to Havant via Horsham Line	see separate portions	nan	nan
TBH1	Three Bridges to Arundel Junction North	29.28 - 59.74	London Bridge via Redhill	nan
TBH2	Arundel Junction North to Havant	19.03 - 37.25	Brighton	nan
TBY	Tenbury Branch	137.39 - 152.56	Paddington via Didcot, Charlbury and Stourport	nan
TBZ	Talywain Ballast Branch	12.12 - 12.29	George Street Junction	nan
TCB	Treeton Colliery Branch	?? - ??	nan	nan
TCC	Trent East Junction – Clay Cross South Junction [Toton to Clay Cross Line]	119.69 - 142.10	St Pancras via Toton	nan
TCF	Tyneside Central Freight Depot	100.23 - 100.65	Leeds Wortley Junction via Harrogate Starbeck, Northallerton Low Level and Sunderland	nan
TCJ	Three Cocks Junction Line	0.00 - 0.34	Three Cocks Junction	nan
TCV	Tamworth Curve	23.34 - 23.62	Derby	nan
TCW	Taunton Concrete Works	162.57 - 163.04	Paddington via Box	nan
TCW	Temple Hirst Junction and Chaloner's Whin Junction via Selby Line	see separate portions	nan	nan
TCW1	Temple Hirst Junction to Selby South Junction	169.16 - 174.11	Kings Cross	nan
TCW2	Selby to Chaloners Whin Junction	174.75 - 186.14	Kings Cross	nan
TCW3	York Bar Wall	188.00 - 188.20	Kings Cross	Structures only
TCY	Tibshelf Colliery Branch	see separate portions	nan	nan
TCY1	Colliery Branches Junction to Tibshelf Colliery	138.74 - 139.72	St Pancras via Toton	nan
TCY2	Tibshelf to No 1 Colliery	0.00 - 0.13	Tibshelf Town Junction	nan
TDB	Tweedmouth Dock Branch	?? - ??	nan	nan
TDE	Tilbury Docks East Side	0.00 - 1.17	Grays East Junction	nan
TDG2	See RDG2; shown on Wokingham station footbridge in error see this image	nan	nan	nan
TDZ	Mineral Loop (Tufts Junction to Drybrook Road)	10.60 - 17.29	Berkeley Road Junction	nan
TEI	Teign Valley Railway	0.00 - 7.57	Heathfield	0.00 - 0.22 now MOB sidings
TEM	Temple Branch	0.00 - 0.79	Dawsholm Gas Works Junction	nan
TEN	Cambridge Chord (Stansted East Junction to North Junction)	0.00 - 0.49	Stansted North Junction	nan
TEP	Templecombe Loop	35.57 - 36.??	Bath Junction	nan
TES	Trent East Junction to Sheet Stores Junction Curve	0.00 - 0.30	Trent East Junction	nan
TET	Tetbury Branch	0.00 - 7.19	Kemble Station	nan
TEV	Teversall Branch	142.48 - 145.69	Kings Cross	nan
TEW	Tewkesbury Quay Branch	1.46 - 2.26	Tewkesbury Junction	nan
TEY	Tyne Yard	74.12 - 77.37	York	nan
TFC	Thornton Field Sidings	3.32 - 3.69	Liverpool Street	nan
TFD	Tanfield Branch	0.00 - 7.74	Redheugh Bank Foot Junction	nan
TFH	South Tottenham and Thames Haven Line	see separate portions	nan	nan
TFH1	South Tottenham Junction to Woodgrange Park Junction	nan	nan	Now TAH2
TFH2	Woodgrange Park Junction to Barking Tilbury Line Junction West	nan	nan	Now TAH3
TFH3	Barking Tilbury Line Junction West to Thames Haven Junction	nan	nan	Now part of FSS2 and TLL
TFH4	Thames Haven Junction to Thames Haven	nan	nan	Now THN
TFK	Touch Fork	17.78 - 18.32	Edinburgh Waverley	nan
TFN	Trimley to Felixstowe North Freightliner Terminal Line	0.00 - 2.13	Trimley	nan
TFT	Treforest Trading Estate Branch	nan	nan	Now TTB
TFW	Tipton Basin Branch/Tipton Five Ways	149.41 - 150.02	Paddington via Didcot and Charlbury	nan
TFZ	Treferig Branch	1.22 - 3.78	Common Branch Junction	nan
TGN	Treloggan Curve	301.49 - 301.64	Paddington via Box and Plymouth Millbay (reverse)	nan
TGO	Thurgoland Coal Branch	?? - ??	nan	Approx 2 miles long. Barnsley area
TGW	Tradeston Gas Works Branch	0.00 - 0.22	West Street Junction	West Street Depot, Glasgow
TGZ	Tenby Goods Branch	0.00 - 0.34	Black Rock Junction	nan
THA	Thame Branch (WR end)	0.00 - 18.47	Princes Risborough	Now includes PRT. Distances shown are for whole branch
THB	Thorncliffe Branch	166.18 - 167.12	St Pancras	nan
THC	Thurcroft Colliery Branch	3.68 - 6.32	Brancliffe East Junction	nan
THD	Toton Yard (East Side)	?? - ??	St Pancras (presumed)	nan
THG	Norwich Thorpe Goods and Carriage Sidings	0.00 - 0.32	Junction with LTN2	nan
THH	Thrushbush Branch	0.00 - 1.39	Rochsoles Branch Junction	nan
THJ	Torrington and Halwill Line	0.00 - 20.40	Torrington	Formerly THL
THL	Torrington and Halwill Line	nan	nan	Now THJ
THL	Toton High Level Goods Line	119.17 - 121.44	St Pancras	nan
THM	Thirsk to Malton Line	0.00 - 22.52	Sessay Wood Junction, renamed Pilmoor South Junction	nan
THN	Thames Haven Branch	26.41 - 30.44	Fenchurch Street	nan
THO	Thornbury Branch	0.00 - 7.37	Yate Main Line Junction	nan
THR	Troon Harbour Branch	33.08 - 35.18	Bridge Street Station	nan
THT	Treherbert Branch	13.03 - 24.46	Cardiff Bute Road	nan
TIB	Tivetshall to Beccles Branch	0.04 - 19.31	Tivetshall	nan
TIR	Tilbury Riverside Branch	22.06 - 22.45	Fenchurch Street	nan
TIV	Tiverton Branch	179.09 - 183.51	Paddington via Box	nan
TJB	Thornhill Junction Branch	185.44 - 186.35	St Pancras	nan
TJC	Tapton Junction (Chesterfield) to Colne	see separate portions	nan	nan
TJC1	Tapton Junction to Freight Terminal Junction	146.59 - 160.34	St Pancras via Leicester and Toton	nan
TJC2	Freight Terminal Junction to Masborough	160.34 - 163.74	St Pancras via Leicester and Toton	nan
TJC3	Masborough to Colne	161.77 - 232.39	St Pancras via Leicester, Toton and Barrow Hill	nan
TJE	Budleigh Salterton Branch (Tipton St Johns to Exmouth)	164.30 - 175.29	Waterloo	nan
TJG	Thorne Junction to Gilberdyke Line	see separate portions	nan	nan
TJG1	Thorne Junction to Thorne North Station	7.69 - 9.09	Doncaster Marshgate Junction via original route	nan
TJG2	Thorne North Station to Gilberdyke	0.00 - 14.06	Gilberdyke Junction	nan
TJS	Townhill Junction to Lilliehill South Junction	0.00 - 6.48	Townhill Junction	nan
TJY	Tavistock Junction Marshalling Yard	242.42 - 243.03	Paddington via Box	nan
TLA	Third London Airport (Stansted Airport Link)	33.54 - 36.67	Liverpool Street via Clapton	nan
TLK	Talke/Talk O' Th' Hill Branch	0.00 - 2.32	Chatterley Junction	nan
TLL	Tilbury Loop Line (Barking to Pitsea via Tilbury)	7.60 - 32.43	Fenchurch Street	nan
TLP	Tonbridge Loops (Bickley to Petts Wood)	see separate portions	nan	nan
TLP1	Bickley Junction to Petts Wood Junction (Fast lines)	12.38 - 13.29	Victoria	nan
TLP2	Bickley Junction to Petts Wood Junction (Slow lines)	12.49 - 13.35	Victoria	Listed from 12.38
TMB	Tynemouth Branch	0.00 - 11.35	Heaton South Junction	nan
TMD	Temple Mills Depot branch	9.381km - 13.428km	St Pancras	nan
TMG	Temple Meads Goods Lines	118.19 - 118.37	Paddington via Box	nan
TML	Trans Manche Link (Continental Junction to Eurotunnel Boundary)	66.27 - 68.64 + Channel Tunnel	Charing Cross via Chelsfield	Network Rail/Eurotunnel boundary 67.34 (concession), 68.15 (signalling), 68.68 (maintenance)
Note	Channel Tunnel	69.28 - 100.57 portal to portal	Charing Cross via Chelsfield	nan
Note	Channel Tunnel	66.48 - 105.21 total	Charing Cross via Chelsfield	nan
Note	Channel Tunnel	5.589km - 67.820km total	Westenhanger (1974 scheme start point)	nan
TMP	Thorpe Marsh Power Station	163.46 - 164.37	Kings Cross via Carcroft	nan
TNC	Treeton North Junction to Catcliffe Junction Curve	0.00 - 0.25	Treeton Norh Junction	nan
TND	Tiverton and North Devon Line	0.00 - 8.41	Morebath Junction	nan
TNL	Troon Harbour Loop	0.00 - 0.64	Troon Passenger Station	Troon Station to Templehill Junction on THR
TNQ	Truro and Newquay Line	0.00 - 17.20	Blackwater East Junction	nan
TNT	Trent North Curve	119.70 - 120.72	St Pancras	nan
TNW	Thornton North to West Junctions Curve	0.00 - 0.70	Thornton North Junction	nan
TNY	Thornton Yard	32.16 - 33.42	Stirling	nan
TNZ	Tymaen Branch	11.36 - 11.64	R&SB Junction	nan
TOB	Tottington Branch	10.01 - 13.32	Manchester Victoria	nan
TOC	Treeton and Orgreave Colliery Branch	0.07 - 0.37	Treeton	nan
TOL	Sunniside Branch (Tow Law)	0.00 - 1.21	Tow Law Junction	nan
TOM	Thrapston to Orton Mere (Peterborough) Branch	27.58 - 47.08	Blisworth	Continuation of BPH
TON	Tondu North Loop	0.00 - 0.16	Tondu North Junction	nan
TOP	Topsham Quay Branch	0.00 - 0.35	Junction with EMT	nan
TOR	Torquay Branch	214.43 - 228.68	Paddington via Box	nan
TOT	Totnes Quay Branch	0.00 - 0.62	Totnes Quay Branch Junction	nan
TOY	Thornley Branch	0.00 - 1.42	Thornley Junction	nan
TPF	Trafford Park Freightliner Terminal	?? - ??	nan	nan
TPL	Templehill Goods Branch	0.00 - 0.10	Templehill Junction	nan
TPS	Trafford Park Sidings	see separate portions	nan	nan
TPS1	Trafford Park Junction to Miscellaneous Sidings	0.00 - 0.58	Trafford Park West Junction??	nan
TPS2	Bridgewater Junction to Metropolitan Vickers Sidings	0.13 - 0.60	Trafford Park West Junction??	nan
TPS3	Trafford Park Junction to Trafford Park West Junction	31.66 - 32.33	Liverpool Central	nan
TRE	Treamble Branch	0.00 - 3.20	Shepherds Junction	nan
TRI	Trimsaran Branch	4.10 - 5.28	Burry Port	nan
TRL	St Pancras to Cheriton (Channel Tunnel Rail Link)	see separate portions	nan	nan
TRL1	St Pancras to York Way South Junction	0.000km - 1.409km	St Pancras	nan
TRL2	York Way South Junction to Dagenham Junction	1.409km - 21.264km (mean)	St Pancras	nan
TRL3	Dagenham Junction to Eurotunnel boundary	21.264km (mean) - 109.948	St Pancras	nan
TRL4	Ripple Lane chords	18.864km - 20.522km (mean)	St Pancras via Dagenham Junction (reverse)	nan
TRL5	North Kent Line Connection Junction (Ebbsfleet) to Springhead Road Junction (CTRL portion)	35.555km - 37.477km (mean)	St Pancras	See also ESJ
TRL6	Not allocated	nan	nan	nan
TRL7	Ashford Down East Chord	?? - 92.696km	St Pancras	nan
TRL8	Not allocated	nan	nan	nan
TRL9	East Coast Main Line connection	&ap;0.790km - 1.382km	St Pancras	Exact limit uncertain
TRN	Troon avoiding line	33.05 - 35.05	Bridge Street Station	Partially included in ZZA4
TRO	Trosnant Junction Line	0.00 - 0.27	Trosnant Junction (Vale Of Neath)	nan
TRP	Trentham Park Branch	0.00 - 1.14	Trentham Junction	nan
TRV	Trenance Valley Branch	0.00 - 1.53	Trenance Junction	nan
TRW	Truro and Newquay West Loop/Chacewater West Loop	0.00 - 0.18	Chacewater (Blackwater) West Junction	nan
TRX	Tarbrax Branch	0.00 - 1.70	Tarbrax Junction	nan
TRZ	Treforest Branch	12.27 - 14.01	Cadoxton Junction	nan
TSB	Tyseley South Junction to Bearley Junction Branch	0.00 - 17.69	Tyseley South Junction	nan
TSC	Tibshelf to Silverhill Colliery Branch (Tibshelf and Teversall Line)	137.43 - 146.36	St Pancras via Toton	nan
TSE	South Tottenham East Junction to Tottenham South Junction	see separate portions	nan	nan
TSE1	South Tottenham East Junction to Tottenham West Junction	5.73 - 6.22	St Pancras via Kentish Town	nan
TSE2	Tottenham South Junction to Tottenham West Junction	5.41 - 5.54	Liverpool Street	nan
TSJ	Twickenham Junction to Shacklegate Junction Line	11.49 - 12.53	Waterloo	nan
TSN	Trent South to Nottingham Line	see separate portions	nan	nan
TSN1	Trent South Junction to Mansfield Junction	119.16 - 125.64	St Pancras via Trent	nan
TSN2	Nottingham London Road to Mansfield Junction	123.23 - 124.22	St Pancras via Corby	nan
TSO	Thurso Branch	0.00 - 6.52	Geargemas Junction	nan
TSS	Terminus South Curve (Glasgow Central)	0.00 - 0.40	Muirhouse South Junction	nan
TST	Sheffield Tram Transfer Line	0.00 - &ap;0.27	Tinsley North Junction	nan
TSY	Tees Yard	11.69 - 14.03	Darlington	nan
TTA	Chinley to Ashburys Line	see separate portions	nan	nan
TTA1	Chinley North Junction to Reddish Junction	168.39 - 181.00	St Pancras via Chaddesden	nan
TTA2	Reddish Junction to Ashburys	42.77 - 46.24	Liverpool via Cheadle	nan
TTB	Treforest Trading Estate Branch	0.00 - 1.22	Treforest Estate Junction	Formerly TFT
TTE	Tilbury Riverside to Tilbury East Junction Curve	0.16 - 0.40	Tilbury Riverside	nan
TTF	Totton to Fawley Branch	82.67 - 92.12	Waterloo	nan
TTG	Thirsk Town Branch	0.00 - 1.23	Thirsk Town Junction	nan
TTH	Tonbridge to Hastings Line	29.55 - 62.34	Charing Cross via Chelsfield	nan
TUB	Turdees Branch	0.00 - 1.34	Turdees Branch Junction	Off Salsburgh to Dunsyston Line, serves Blackridge Colliery and Springbank Pit No 7
TUF	Tuffley Branch	94.73 - 96.18 + docks	Derby	nan
TUN	Tunstall Branch	0.00 - 1.08	Longport Junction	nan
TUR	Turnchapel Branch/Plymstock Branch	0.00 - 2.21	Turnchapel Branch Junction	0.00 - 1.05 formerly PLS
TVB	Tees Valley Branch	0.00 - 7.58	Tees Valley Junction	nan
TVG	Tovil Goods Line	0.00 - 0.21	Branch Junction	nan
TVZ	Tresavean Branch	310.33 - 313.09	Paddington via Box, Plymouth Millbay (reverse) and Redruth Junction (reverse)	nan
TWD	Taffs Well Depot	0.00 - ??	Taffs Well Junction	nan
TWE	Thornton West to Thornton East Line	0.00 - 0.24	Thornton West Junction	nan
TWM	Thornton Junction, Wemyss and Methill Line	0.11 - 5.30	Thornton North Junction	nan
TWN	Thorpe Le Soken and Walton On The Naze Line	65.20 - 70.17	Liverpool Street	nan
TWS	Tilbury Docks West Side Line	?? - ??	nan	nan
TWY	Thames Wharf Yard	0.00 - 0.19	Midland Junction	nan
TYB	Torksey Branch	see separate portions	nan	nan
TYB1	Clarborough Junction to Cottam CEGB	68.32 - 71.79	Manchester London Road via Woodhead	Formerly COT
TYB2	Cottam to Torksey	71.79 - 73.50	Manchester London Road via Woodhead	nan
TYB3	Torksey to Sykes Junction	73.50 - 76.46	Manchester London Road via Woodhead	nan
TYC	Thoresby Colliery Branch	0.00 - 1.23	Thoresby Colliery Junction	nan
TYL	Talyllyn Loop	107.78 - 108.32	Whitchurch Cambrian Junction via Oswestry	nan
TYZ	Tycoch Loop	0.03 - 0.24	Mileage change 6ch East of Kidwelly Junction	Now in KID1
UCJ	Upperby Bridge Junction to Carlisle Caldew Junction	0.00 - 2.14	Upperby Bridge Junction	nan
UCX	Upper Caldercruix Branch	0.00 - 0.21	Caldercruix Station	To Glengowan Paint Works
UDS	Up Decoy Sidings	15.55 - 16.56	Brancliffe East Junction	nan
UHL	Up High Level Arrival Line	1.06 - 2.76	Kensal Green Junction	nan
ULC	Ullcoats Branch	0.00 - 1.17	Ullcoats Branch Junction	nan
ULR	Carlisle Upperby Junction to London Road Junction	0.00 - 0.35	Upperby Junction	nan
UNS	Unstone Branch	149.62 - 151.68	St Pancras via Leicester, Toton and Barrow Hill	nan
UPG	Upminster and Grays Branch	0.00 - 6.56	Upminster East Junction	nan
UPL	Uphall Branch	?? - ??	nan	Part of CJN??
USS	Up Side Sidings, Euston	0.35 - 0.57	Euston	nan
USY	Up Sidings, Westbury	109.61 - 110.24	Paddington via Melksham	nan
UXB	Uxbridge Branch	13.28 - 15.68	Paddington	13.28 - 13.39 now STA
UXC	Uttoxeter Curve	0.00 - 0.28	Uttoxeter West Junction	nan
VAN	Van Branch	0.00 - 6.47	Van Branch Junction	nan
VAT	Manchester Victoria Station Todd Street Approach	nan	nan	Road only
VCZ	Varteg Colliery Branch	nan	nan	Now VOZ
VDB	Drypool Victoria Docks Branch	0.46 - 3.75	Hull Paragon	nan
VHB	Victoria Harbour Branch	0.00 - 0.32	junction with GOU2	nan
VIC	Victoria Branch	0.00 - 0.34	West London Junction	Now part of WLL9
VIG	Norwich Victoria Goods Branch	112.67 - 114.10	Liverpool Street	nan
VIR	Victoria to Ramsgate (via Herne Hill and Chatham) Line	0.00 - 79.21	Victoria	nan
VIZ	Vinegar Branch	120.17 - 120.58	Paddington via Didcot, Charlbury and Branch Junction (reverse direction and count)	nan
VOB	Vobster Branch	&ap;5.10 - ??	Radstock Branch Junction	nan
VOC	Vale of Clwyd Branch	0.00 - 10.13	Denbigh	nan
VOG	Vale of Glamorgan Line	0.00 - 20.20	Barry Junction	nan
VON	Vale of Neath Line	0.00 - 49.11	Taff Vale Extension Junction	0.00 - 5.77 formerly Taff Vale Extension Line
VOR	Vale of Rheidol Line	0.00 - 11.72	Aberystwyth	nan
VOT	Vale of Towy Line	18.17 - 29.40	Llandeilo Junction	nan
VOZ	Varteg Colliery Branch	4.63 - 6.23	Blaenavon Junction	Formerly VCZ
VPB	Victoria Pit Branch	0.00 - 0.25	Nitshill	nan
VQZ	Sutton Harbour and Friary Branch	233.36 - 234.01	Waterloo	nan
VRB	Vron Branch (Fishponds Branch)	0.00 - 0.55	Vron Mineral Junction	Brymbo, GC
VRC	Vron Colliery Branch	0.00 - 1.21	Vron Colliery Junction	nan
VTB	Victoria To Brighton Line	see separate portions	nan	nan
VTB1	Victoria to Windmill Bridge Junction	0.00 - 10.03	Victoria	nan
VTB2	Windmill Bridge Junction to Earlswood mileage change	9.69 - 21.37	London Bridge	nan
VTB3	Earlswood mileage change to Brighton	21.31 - 50.49	London Bridge via Redhill	nan
VWC	Virginia Water West Curve	24.54 - 24.73	Waterloo via Weybridge	nan
VWW	Virginia Water to Weybridge Line	19.08 - 24.74	Waterloo	nan
WAB	Waltham-on-the-Wolds Branch	0.00 - 3.65	Scalford Junction	nan
WAC	Whitland and Cardigan Branch/Cardigan Branch	nan	nan	Now WCN
WAC	Warsop Colliery Branch	144.70 - 145.08	St Pancras via Corby and Newstead	nan
WAD	Wath Junction to Dearne Junction	0.00 - 0.67	Wath Central Junction	nan
WAE	Wath East Curve	0.00 - 0.74	Wath Junction	nan
WAG	Wakefield and Goole Line	see separate portions	nan	nan
WAG1	Wakefield to Engine Shed Junction	47.43 - 73.52	Manchester Victoria via Rochdale and Wakefield Kirkgate	nan
WAG2	Engine Shed Junction to Potters Grange Junction	0.00 - 0.64	Potters Grange Junction	nan
WAG3	Goole Docks	73.52 - 75.25	Manchester Victoria via Rochdale and Wakefield Kirkgate	nan
WAH	Worcester and Hereford Line	120.47 - 148.12	Paddington via Didcot and Charlbury	nan
WAI	Wapping Independent Goods Line	0.00 - 0.19	Lodging House Junction	nan
WAJ	Wrenthorpe South Junction to Adwalton Junction Line	176.14 - 186.68	Kings Cross	nan
WAL	Wallingford Branch	0.00 - 2.53	Cholsey Station	nan
WAM	Wrexham and Minera Line	0.00 - 7.16	Croes Newydd North Fork Junction	nan
WAR	Appleby North Junction to West Junction	277.27 - 277.59	St Pancras	nan
WAT	Watlington Branch (Princes Risborough and Chinnor Branch	nan	nan	Now PRC
